75DAC	22.857708	91.285347	14	G463	B	ADMIL	23.180833	90.990556	07500	Y	ONEKA	22.580000	91.537222	11500	Y
80HKC	30.453603	130.015006	14	A582	B	ENPAD	30.577003	130.070594	06000	Y	OLSER	30.343472	129.965472	12000	Y
90AA	-38.309319	175.749114	14	W115	B	30AA	-37.440381	175.121836	04700	Y	AP	-38.743214	176.074286	04700	Y
A400X	-6.106111	11.322500	14	UT398	H	LIKAD	-5.123333	11.702778	24500	Y	NIDUS	-7.000000	11.000000	24500	Y
AA	68.723147	-52.784825	14	UW22	H					N	NYGAR	68.232222	-52.311389	19500	Y
AA	68.723147	-52.784825	14	UW30	H	KUKAK	68.199731	-53.067622	19500	Y					N
AA	68.723147	-52.784825	14	UW31	H					N	ASMOD	68.985908	-51.934269	19500	Y
AA	68.723147	-52.784825	14	W22	L					N	GODUT	68.343056	-52.416389	04500	Y
AA	68.723147	-52.784825	14	W30	L	KUKAK	68.199731	-53.067622	07500	Y					N
AA	68.723147	-52.784825	14	W31	L					N	ASMOD	68.985908	-51.934269	03500	Y
AA	-37.004528	174.813722	14	A346	B	SALAG	-34.845050	171.683364	02700	Y					N
AA	-37.004528	174.813722	14	A464	B					N	UPLAR	-35.565339	171.093136	02700	Y
AA	-37.004528	174.813722	14	A578	B					N	KALAG	-33.694261	175.323831	03200	Y
AA	-37.004528	174.813722	14	A580	B					N	AGREX	-33.725117	175.564372	03500	Y
AA	-37.004528	174.813722	14	A597	B	DUGAN	-33.879472	173.390167	03500	Y					N
AA	-37.004528	174.813722	14	B575	B					N	OKTUB	-35.213889	176.160000	05000	Y
AA	-37.004528	174.813722	14	G347	B					N	TARIB	-34.066142	176.748078	03200	Y
AA	-37.004528	174.813722	14	G591	B					N	KYPRA	-36.515833	174.415944	04700	Y
AA	-37.004528	174.813722	14	G594	B					N	AKLOM	-35.357856	178.394161	04100	Y
AA	-37.004528	174.813722	14	G599	B					N	OLBEX	-35.693419	178.607472	04100	Y
AA	-37.004528	174.813722	14	H107	B					N	MAYOR	-37.334167	176.061111	04900	Y
AA	-37.004528	174.813722	14	H182	B	IGABI	-37.413419	174.918003	03000	Y	WP	-36.786792	174.631236	02200	Y
AA	-37.004528	174.813722	14	H211	B	ORIDI	-37.453528	175.090889	02400	Y					N
AA	-37.004528	174.813722	14	H259	B	BIKOT	-37.461611	175.742833	04000	Y					N
AA	-37.004528	174.813722	14	H372	B					N	TULMI	-37.446389	175.405556	03000	Y
AA	-37.004528	174.813722	14	H379	B	PUHOI	-36.449944	174.585667	02500	Y					N
AA	-37.004528	174.813722	14	H384	B					N	IGBAT	-37.976728	174.512161	02400	Y
AA	-37.004528	174.813722	14	H460	B	KOPPA	-36.480444	174.537361	03100	Y					N
AA	-37.004528	174.813722	14	L513	B					N	VELMO	-38.271622	170.930750	02300	Y
AA	-37.004528	174.813722	14	L521	B	LUNBI	-37.256961	170.656817	02700	N					N
AA	-37.004528	174.813722	14	N759	B	PEBLU	-38.109831	170.857672	02400	Y					N
AA	-37.004528	174.813722	14	N774	B					N	MADEP	-36.384619	170.740672	02700	Y
AA	-37.004528	174.813722	14	Q119	B					N	MERAS	-37.193806	175.298639	03100	Y
AA	-37.004528	174.813722	14	Q136	B					N	BOVRU	-36.550908	175.201947	01600	Y
AA	-37.004528	174.813722	14	Q162	B	HOOKS	-36.740139	175.241778	02000	Y					N
AA	-37.004528	174.813722	14	Q271	B					N	OTATA	-36.647564	174.852569	02200	Y
AA	-37.004528	174.813722	14	Q277	B	BROOK	-37.138056	174.813889	01500	Y					N
AA	-37.004528	174.813722	14	Q520	B					N	KAWAU	-36.438194	174.635750	02500	Y
AA	-37.004528	174.813722	14	T46	L					N	NUTRA	-37.800000	173.800000	02000	Y
AA	-37.004528	174.813722	14	W115	B					N	30AA	-37.440381	175.121836	03000	Y
AA	-37.004528	174.813722	14	Y320	B					N	KAPAI	-37.541167	174.525028	01900	Y
AAARG	32.693964	-78.051294	14	AR19	H	RAZZL	31.525506	-78.443369	24000	Y	JRDAN	33.044583	-77.931561	24000	N
AAARG	32.693964	-78.051294	14	Y291	H	RAZZL	31.525506	-78.443369	0	Y	JRDAN	33.044583	-77.931561	0	N
AADCO	39.784819	-112.461825	14	V257	L	LOLIC	39.718319	-112.467889	11500	Y	VERNE	40.188139	-112.424814	11500	Y
