MIBAD	-55.000000	 172.450000	15
MYLUS	-55.000000	 170.916667	15
55S59	-55.000000	 159.000000	15
5510S	-55.000000	  10.000000	15
5505W	-55.000000	  -5.000000	15
SUNLI	-54.963056	 -68.736667	15
IRUPA	-54.956011	 -67.584872	15
12US 	-54.951050	 -67.991794	15
ARPUN	-54.934694	 -67.159969	15
GZ088	-54.934497	 -67.362206	15
BUTUK	-54.932644	 -67.448611	15
GZ045	-54.932328	 -67.486428	15
GZ010	-54.931431	 -67.586100	15
DE26 	-54.930942	 -67.637431	15
PWL07	-54.912636	 -67.421142	15
WH768	-54.906997	 -67.705822	15
US14 	-54.905833	 -67.891825	15
WH292	-54.903883	 -68.232983	15
GZ048	-54.898972	 -67.741186	15
US12 	-54.896775	 -67.947389	15
WH064	-54.894150	 -67.819125	15
WH488	-54.881344	 -67.948131	15
16US 	-54.879167	 -67.822500	15
US80 	-54.877589	 -68.057925	15
GZ167	-54.876811	 -68.057300	15
RENEN	-54.870647	 -68.023864	15
US44 	-54.860253	 -68.157328	15
US40 	-54.858303	 -68.168356	15
WH876	-54.853658	 -68.124664	15
US28 	-54.852497	 -68.201464	15
WH588	-54.844025	 -68.314219	15
TOBTO	-54.842528	 -68.190400	15
FTP  	-54.841017	 -68.276472	15
WH792	-54.840356	 -68.313064	15
WH192	-54.837622	 -68.150697	15
WH092	-54.833617	 -68.051144	15
UGSIN	-54.829858	 -67.959581	15
US132	-54.827408	 -67.900908	15
US15 	-54.825228	 -67.849178	15
US16 	-54.824006	 -67.820439	15
MUGUM	-54.823847	 -67.816478	15
US18 	-54.821544	 -67.762972	15
WH087	-54.820772	 -67.744642	15
MIBOK	-54.817778	 -67.675556	15
WH214	-54.796389	 -67.635000	15
TODRA	-54.743056	 -68.676944	15
WH213	-54.730000	 -67.642222	15
ROMIV	-54.668056	 -68.610556	15
EDPAN	-54.663611	 -67.649722	15
T350 	-54.607042	 -67.770703	15
UGIRA	-54.500000	 -68.317778	15
KEXOP	-54.500000	 -68.109722	15
DABLI	-54.500000	 -67.667778	15
54W20	-54.000000	-120.000000	15
ALMIR	-54.000000	 -69.808333	15
54W40	-54.000000	-140.000000	15
54W31	-54.000000	-131.000000	15
R146N	-53.989422	 -67.590608	15
R186L	-53.966858	 -67.840739	15
R146L	-53.958839	 -67.612861	15
KOVSI	-53.868083	 -68.039758	15
LOBID	-53.852600	 -67.446981	15
8GRA 	-53.827083	 -67.952814	15
R251L	-53.802575	 -68.079725	15
GRA85	-53.794700	 -67.982256	15
GRA8 	-53.793569	 -67.968333	15
GRA07	-53.791303	 -67.940492	15
ESPAT	-53.788192	 -68.185761	15
GRA45	-53.785606	 -67.870906	15
EKIPI	-53.784953	 -68.045375	15
VUNUK	-53.781553	 -67.905011	15
WE019	-53.780064	 -67.846633	15
WE008	-53.779433	 -67.820803	15
GRA14	-53.778486	 -67.784642	15
GR05 	-53.776839	 -67.720567	15
GRA19	-53.775239	 -67.692322	15
GRA67	-53.775103	 -67.557486	15
GRA80	-53.775039	 -67.520967	15
GRA90	-53.774983	 -67.492875	15
GRA10	-53.774922	 -67.464786	15
R079L	-53.774775	 -67.408606	15
GR38 	-53.774414	 -67.627725	15
WE005	-53.774256	 -67.624353	15
ARVAG	-53.773428	 -67.594053	15
GR63 	-53.772528	 -67.557572	15
GR95 	-53.769928	 -67.467222	15
ESBON	-53.769500	 -67.453767	15
GRA11	-53.769186	 -67.436925	15
14GRA	-53.766539	 -67.352736	15
PUKOX	-53.765406	 -67.313508	15
R064L	-53.722119	 -67.420958	15
R064N	-53.713181	 -67.366917	15
REDET	-53.701822	 -68.050969	15
ILMEN	-53.688744	 -67.421694	15
R324L	-53.593614	 -67.885417	15
R012L	-53.590703	 -67.617258	15
GEDAB	-53.590000	 -68.407500	15
R004L	-53.583081	 -67.654328	15
R348L	-53.575583	 -67.749208	15
TOGOR	-53.573333	 -68.610556	15
R324N	-53.563325	 -67.908586	15
R012N	-53.559931	 -67.595961	15
R004N	-53.551044	 -67.639181	15
R348N	-53.542303	 -67.749789	15
LOKEN	-53.408333	 -68.421389	15
NAS22	-53.227944	 -70.391264	15
NAS17	-53.181258	 -70.488783	15
R141J	-53.153550	 -70.733486	15
PABIS	-53.138936	 -70.663028	15
R130J	-53.136781	 -70.688353	15
R121J	-53.119394	 -70.655961	15
NAS08	-53.087644	 -70.683183	15
SIMIR	-53.083964	 -70.559222	15
FF30 	-53.077289	 -70.763400	15
OTAGI	-53.076944	 -58.289167	15
R130E	-53.070503	 -70.771944	15
CI049	-53.063969	 -70.746022	15
SALPO	-53.063881	 -70.772439	15
CI030	-53.050681	 -70.791628	15
R089H	-53.033028	 -70.638292	15
R087J	-53.032467	 -70.583328	15
CI994	-53.024908	 -70.742828	15
CI993	-53.019919	 -70.742419	15
R130A	-53.017439	 -70.838631	15
EP30 	-53.013219	 -70.843925	15
NAS  	-53.010278	 -70.863889	15
DUBLU	-53.004319	 -71.151206	15
EP07 	-53.002892	 -70.875683	15
UROXA	-53.002494	 -70.985708	15
R263A	-53.002453	 -70.882719	15
EP25 	-53.002286	 -70.833397	15
R069A	-53.001819	 -70.827967	15
INAS2	-53.001292	 -70.893142	15
INAS6	-53.000344	 -70.822083	15
53W50	-53.000000	-150.000000	15
CI029	-52.999533	 -70.752558	15
VAPIL	-52.999139	 -70.723478	15
INAS5	-52.998725	 -70.701419	15
EP12 	-52.996819	 -70.867497	15
ISAPU	-52.996728	 -70.558022	15
10INA	-52.996594	 -70.563544	15
R263E	-52.995533	 -70.992458	15
FF07 	-52.994675	 -71.005969	15
EP19 	-52.994175	 -70.844564	15
R302A	-52.992419	 -70.874814	15
R069E	-52.992364	 -70.718750	15
CI112	-52.988911	 -70.690436	15
CI048	-52.986956	 -70.706472	15
R263K	-52.984967	 -71.157006	15
R069J	-52.980406	 -70.582300	15
CI071	-52.973122	 -71.049044	15
R302C	-52.968911	 -70.913856	15
R020C	-52.965036	 -70.813358	15
CI990	-52.963892	 -70.986947	15
CI992	-52.960514	 -70.754028	15
CI991	-52.957008	 -70.760322	15
CI143	-52.952569	 -70.749961	15
R059J	-52.952175	 -70.593364	15
CI040	-52.947400	 -70.941219	15
R302E	-52.945392	 -70.952853	15
FF12 	-52.940981	 -70.960161	15
ASGEN	-52.936111	 -66.654722	15
R020E	-52.926522	 -70.772189	15
CI103	-52.922183	 -71.069756	15
UGROL	-52.921122	 -71.153561	15
R047J	-52.920467	 -70.617061	15
CI095	-52.919247	 -70.722297	15
PALUN	-52.912433	 -70.561506	15
USORI	-52.900733	 -71.070433	15
CI125	-52.893300	 -70.792811	15
R302J	-52.886536	 -71.050164	15
AKTEB	-52.872097	 -71.049686	15
R022J	-52.867572	 -70.697931	15
PAMIP	-52.843369	 -70.927942	15
UTNOS	-52.838056	 -66.902778	15
